Unnamed: 0,year,team_name,conference,division,Jersey,player_name,Yr,Pos,GP,GS,BA,OBPct,SlgPct,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,IBB,RBI2out,Ht,B/T,team_id,conference_id,player_id,player_url
1,2023,A&M-Corpus Christi,Southland,1,38,Adam Vaughn,Fr,P,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,548068,914,7995254?year_stat_category_id=15000,http://stats.ncaa.org/players/7995254?year_stat_category_id=15000
2,2023,A&M-Corpus Christi,Southland,1,4,Diego Johnson,Jr,3B,54,54,0.307,0.405,0.377,37,199,61,10,2,75,0,29,33,2,3,4,26,9,2,0,9,0,0,-,,548068,914,7824097?year_stat_category_id=15000,http://stats.ncaa.org/players/7824097?year_stat_category_id=15000
3,2023,A&M-Corpus Christi,Southland,1,3,Tre Jones,Jr,OF,53,49,0.332,0.385,0.52,37,196,65,9,5,102,6,38,16,3,3,0,60,1,2,0,8,2,0,6-4,L/L,548068,914,7824099?year_stat_category_id=15000,http://stats.ncaa.org/players/7824099?year_stat_category_id=15000
4,2023,A&M-Corpus Christi,Southland,1,10,Brendan Ryan,Sr,OF,54,54,0.344,0.405,0.576,48,224,77,13,9,129,7,40,9,16,3,0,46,0,9,1,20,3,0,-,,548068,914,7824102?year_stat_category_id=15000,http://stats.ncaa.org/players/7824102?year_stat_category_id=15000
5,2023,A&M-Corpus Christi,Southland,1,18,Leo Markotic,Sr,2B,53,48,0.256,0.293,0.369,27,195,50,9,2,72,3,29,10,1,2,3,49,5,3,0,1,0,0,-,,548068,914,7824103?year_stat_category_id=15000,http://stats.ncaa.org/players/7824103?year_stat_category_id=15000
6,2023,A&M-Corpus Christi,Southland,1,34,Hayden Thomas,Sr,P,16,8,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,548068,914,7824110?year_stat_category_id=15000,http://stats.ncaa.org/players/7824110?year_stat_category_id=15000
7,2023,A&M-Corpus Christi,Southland,1,16,James Trimble,Fr,P,9,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,548068,914,7995242?year_stat_category_id=15000,http://stats.ncaa.org/players/7995242?year_stat_category_id=15000
8,2023,A&M-Corpus Christi,Southland,1,22,Jaime Ramirez Jr.,Jr,P,16,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,548068,914,7824106?year_stat_category_id=15000,http://stats.ncaa.org/players/7824106?year_stat_category_id=15000
9,2023,A&M-Corpus Christi,Southland,1,8,Colin Purcell,Jr,P,15,13,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,548068,914,7824109?year_stat_category_id=15000,http://stats.ncaa.org/players/7824109?year_stat_category_id=15000
10,2023,A&M-Corpus Christi,Southland,1,23,Christian Smith-Johnson,Fr,OF,45,39,0.308,0.369,0.357,36,143,44,5,1,51,0,11,3,11,0,6,38,1,1,0,7,0,0,6-1,R/R,548068,914,7995245?year_stat_category_id=15000,http://stats.ncaa.org/players/7995245?year_stat_category_id=15000
11,2023,A&M-Corpus Christi,Southland,1,29,Samuel Feltz,Jr,P,12,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-1,R/R,548068,914,7995246?year_stat_category_id=15000,http://stats.ncaa.org/players/7995246?year_stat_category_id=15000
12,2023,A&M-Corpus Christi,Southland,1,31,Dalton LeBlanc,Jr,P,6,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,548068,914,7995247?year_stat_category_id=15000,http://stats.ncaa.org/players/7995247?year_stat_category_id=15000
13,2023,A&M-Corpus Christi,Southland,1,32,Sean Curtis,Jr,INF,27,15,0.222,0.328,0.241,6,54,12,1,0,13,0,6,8,1,1,3,16,1,1,0,1,0,0,-,,548068,914,7995248?year_stat_category_id=15000,http://stats.ncaa.org/players/7995248?year_stat_category_id=15000
14,2023,A&M-Corpus Christi,Southland,1,13,Josh Caraway,Jr,C,23,14,0.173,0.271,0.288,13,52,9,6,0,15,0,12,5,2,0,0,17,1,0,0,3,0,0,-,,548068,914,7824119?year_stat_category_id=15000,http://stats.ncaa.org/players/7824119?year_stat_category_id=15000
15,2023,A&M-Corpus Christi,Southland,1,27,Sean Sieve,Jr,p,10,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-3,,548068,914,7824121?year_stat_category_id=15000,http://stats.ncaa.org/players/7824121?year_stat_category_id=15000
16,2023,A&M-Corpus Christi,Southland,1,24,Marco Gutierrez,So,P,15,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,548068,914,7824122?year_stat_category_id=15000,http://stats.ncaa.org/players/7824122?year_stat_category_id=15000
17,2023,A&M-Corpus Christi,Southland,1,25,Max Puls,Jr,1B,47,47,0.316,0.374,0.54,33,187,59,10,1,101,10,36,15,3,1,0,30,4,2,0,5,0,0,-,,548068,914,7824123?year_stat_category_id=15000,http://stats.ncaa.org/players/7824123?year_stat_category_id=15000
18,2023,A&M-Corpus Christi,Southland,1,35,James Burchett,Jr,P,10,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,548068,914,7995252?year_stat_category_id=15000,http://stats.ncaa.org/players/7995252?year_stat_category_id=15000
19,2023,A&M-Corpus Christi,Southland,1,14,Cole Modgling,So,OF,23,6,0.25,0.382,0.286,3,28,7,1,0,8,0,4,4,2,0,0,8,0,0,0,0,0,0,5-7,R/R,548068,914,7824125?year_stat_category_id=15000,http://stats.ncaa.org/players/7824125?year_stat_category_id=15000
20,2023,A&M-Corpus Christi,Southland,1,40,RJ Carver,Jr,1B,1,0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-,,548068,914,7995255?year_stat_category_id=15000,http://stats.ncaa.org/players/7995255?year_stat_category_id=15000
21,2023,A&M-Corpus Christi,Southland,1,9,Chance Reisdorph,So,C,50,45,0.285,0.349,0.39,28,172,49,8,2,67,2,29,13,5,2,2,30,2,4,0,1,0,0,6-3,R/R,548068,914,7824127?year_stat_category_id=15000,http://stats.ncaa.org/players/7824127?year_stat_category_id=15000
22,2023,A&M-Corpus Christi,Southland,1,19,Kyle Dickey,So,P,15,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,548068,914,7824130?year_stat_category_id=15000,http://stats.ncaa.org/players/7824130?year_stat_category_id=15000
23,2023,A&M-Corpus Christi,Southland,1,1,Tyler Linneweber,Jr,SS,10,3,0.0,0.182,0.0,2,9,0,0,0,0,0,1,0,2,0,0,3,1,0,0,0,0,0,-,,548068,914,7824131?year_stat_category_id=15000,http://stats.ncaa.org/players/7824131?year_stat_category_id=15000
24,2023,A&M-Corpus Christi,Southland,1,30,Zach Garcia,So,P,18,10,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-2,L/L,548068,914,7824132?year_stat_category_id=15000,http://stats.ncaa.org/players/7824132?year_stat_category_id=15000
25,2023,A&M-Corpus Christi,Southland,1,36,Kody Gibbs,Fr,P,7,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,548068,914,7995264?year_stat_category_id=15000,http://stats.ncaa.org/players/7995264?year_stat_category_id=15000
26,2023,A&M-Corpus Christi,Southland,1,17,Jake Johnson,Sr,OF,36,29,0.258,0.338,0.325,18,120,31,6,1,39,0,9,13,2,1,1,35,1,2,0,0,0,0,-,,548068,914,7995231?year_stat_category_id=15000,http://stats.ncaa.org/players/7995231?year_stat_category_id=15000
27,2023,A&M-Corpus Christi,Southland,1,21,Nash Villegas,Fr,P,7,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-6,R/R,548068,914,7995234?year_stat_category_id=15000,http://stats.ncaa.org/players/7995234?year_stat_category_id=15000
28,2023,A&M-Corpus Christi,Southland,1,33,Austin Dean,Jr,P,20,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-0,R/R,548068,914,7995261?year_stat_category_id=15000,http://stats.ncaa.org/players/7995261?year_stat_category_id=15000
29,2023,A&M-Corpus Christi,Southland,1,2,Sebastian Trinidad,Jr,INF,54,51,0.23,0.319,0.263,19,152,35,5,0,40,0,25,19,4,7,7,25,4,0,0,2,0,0,5-11,R/R,548068,914,7995229?year_stat_category_id=15000,http://stats.ncaa.org/players/7995229?year_stat_category_id=15000
30,2023,A&M-Corpus Christi,Southland,1,28,Evans Hendricks,Jr,P,19,6,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-0,L/L,548068,914,7995258?year_stat_category_id=15000,http://stats.ncaa.org/players/7995258?year_stat_category_id=15000
31,2023,A&M-Corpus Christi,Southland,1,44,Jose Enriquez,Jr,1B,35,32,0.333,0.407,0.481,16,108,36,7,0,52,3,20,7,7,1,1,23,2,2,0,2,0,0,6-0,L/L,548068,914,7995268?year_stat_category_id=15000,http://stats.ncaa.org/players/7995268?year_stat_category_id=15000
32,2023,A&M-Corpus Christi,Southland,1,11,Matthew Watson,So,P,17,14,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-5,R/R,548068,914,7995230?year_stat_category_id=15000,http://stats.ncaa.org/players/7995230?year_stat_category_id=15000
33,2023,A&M-Corpus Christi,Southland,1,26,Dann Blanchard,Jr,P,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,548068,914,7995236?year_stat_category_id=15000,http://stats.ncaa.org/players/7995236?year_stat_category_id=15000
34,2023,A&M-Corpus Christi,Southland,1,42,Cole Beddingfield,So,P,2,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,548068,914,8678618?year_stat_category_id=15000,http://stats.ncaa.org/players/8678618?year_stat_category_id=15000
35,2023,Abilene Christian,WAC,1,19,Zach Smith,Sr,P,26,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5-10,R/R,548074,923,7824296?year_stat_category_id=15000,http://stats.ncaa.org/players/7824296?year_stat_category_id=15000
36,2023,Abilene Christian,WAC,1,21,Tyler Morgan,Jr,P,16,14,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-0,R/R,548074,923,7824297?year_stat_category_id=15000,http://stats.ncaa.org/players/7824297?year_stat_category_id=15000
37,2023,Abilene Christian,WAC,1,16,Adam Stephenson,Sr,P,19,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-1,L/L,548074,923,7824300?year_stat_category_id=15000,http://stats.ncaa.org/players/7824300?year_stat_category_id=15000
38,2023,Abilene Christian,WAC,1,12,Miller Ladusau,Jr,OF,59,59,0.295,0.396,0.469,44,224,66,13,4,105,6,41,28,11,2,1,52,5,6,1,11,0,0,6-3,L/R,548074,923,7824302?year_stat_category_id=15000,http://stats.ncaa.org/players/7824302?year_stat_category_id=15000
39,2023,Abilene Christian,WAC,1,45,Max Huffing,Jr,P,21,3,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-9,L/L,548074,923,7824307?year_stat_category_id=15000,http://stats.ncaa.org/players/7824307?year_stat_category_id=15000
40,2023,Abilene Christian,WAC,1,22,Grayson Tatrow,Sr,OF,58,58,0.375,0.48,0.832,65,208,78,14,3,173,25,68,43,2,3,0,58,5,6,2,9,4,0,6-4,L/R,548074,923,7824310?year_stat_category_id=15000,http://stats.ncaa.org/players/7824310?year_stat_category_id=15000
41,2023,Abilene Christian,WAC,1,1,Bash Randle,Jr,INF,32,32,0.277,0.354,0.438,22,112,31,4,1,49,4,14,10,4,1,0,22,4,0,0,2,0,0,5-10,R/R,548074,923,7824311?year_stat_category_id=15000,http://stats.ncaa.org/players/7824311?year_stat_category_id=15000
42,2023,Abilene Christian,WAC,1,27,Sam Berberich,Jr,P,18,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5-11,R/L,548074,923,7824313?year_stat_category_id=15000,http://stats.ncaa.org/players/7824313?year_stat_category_id=15000
43,2023,Abilene Christian,WAC,1,18,Drake Boggan,Jr,P,22,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-0,R/R,548074,923,7824314?year_stat_category_id=15000,http://stats.ncaa.org/players/7824314?year_stat_category_id=15000
44,2023,Abilene Christian,WAC,1,17,Breck Eichelberger,Sr,P,15,15,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-4,R/R,548074,923,7824320?year_stat_category_id=15000,http://stats.ncaa.org/players/7824320?year_stat_category_id=15000
45,2023,Abilene Christian,WAC,1,10,Tanner Tweedt,Sr,C,57,56,0.284,0.407,0.475,45,204,58,9,0,97,10,38,27,15,0,0,38,6,0,0,4,0,0,6-0,R/R,548074,923,7824322?year_stat_category_id=15000,http://stats.ncaa.org/players/7824322?year_stat_category_id=15000
46,2023,Abilene Christian,WAC,1,4,Julio Riggs,Jr,INF,12,2,0.063,0.167,0.063,1,16,1,0,0,1,0,1,2,0,0,0,5,0,0,0,0,0,0,5-9,R/R,548074,923,7824324?year_stat_category_id=15000,http://stats.ncaa.org/players/7824324?year_stat_category_id=15000
47,2023,Abilene Christian,WAC,1,9,Riley Bender,So,INF,13,5,0.111,0.143,0.148,2,27,3,1,0,4,0,2,1,0,0,0,6,2,0,0,0,0,0,6-3,R/R,548074,923,7824325?year_stat_category_id=15000,http://stats.ncaa.org/players/7824325?year_stat_category_id=15000
48,2023,Abilene Christian,WAC,1,5,Adam Byrd,So,P,16,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5-11,R/L,548074,923,7824326?year_stat_category_id=15000,http://stats.ncaa.org/players/7824326?year_stat_category_id=15000
