year,team_name,conference,division,Jersey,player_name,Yr,Pos,GP,GS,BA,OBPct,SlgPct,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,IBB,RBI2out,Ht,B/T,team_id,conference_id,player_url,player_id.1,player_id.2,player_id
2021,UMass Dartmouth,Little East,3.0,1.0,A. Camacho,,2b,3.0,1.0,0.2,0.2,0.2,0.0,5.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,509524.0,867.0,http://stats.ncaa.org/players/7158773?year_stat_category_id=14840,P6,d3-playerid-6,d3d-7158773
2021,Penn College,United East,3.0,8.0,A. Jaworski,,ss,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,510277.0,30071.0,http://stats.ncaa.org/players/7151829?year_stat_category_id=14840,P16,d3-playerid-16,d3d-7151829
2021,Susquehanna,Landmark,3.0,15.0,A. Mancini,,ph,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,509530.0,30101.0,http://stats.ncaa.org/players/7159313?year_stat_category_id=14840,P20,d3-playerid-20,7159313
2021,Valley Forge,CSAC,3.0,32.0,A. Pugh,,1b,4.0,1.0,0.0,0.25,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,510272.0,21062.0,http://stats.ncaa.org/players/7144547?year_stat_category_id=14840,P28,d3-playerid-28,d3d-7144547
2021,Albion,Michigan Intercol. Ath. Assn.,3.0,37.0,A. Stoll,,p,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,510279.0,873.0,http://stats.ncaa.org/players/7142378?year_stat_category_id=14840,P35,d3-playerid-35,7142378
2021,Catholic,Landmark,3.0,0.0,A. Varona,,p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,510314.0,30101.0,http://stats.ncaa.org/players/7154281?year_stat_category_id=14840,P36,d3-playerid-36,d3d-7154281
2021,Anderson (IN),HCAC,3.0,30.0,A.J. Bunnell,Fr,P,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,509582.0,9174.0,http://stats.ncaa.org/players/7081537?year_stat_category_id=14840,P38,d3-playerid-38,d3d-7081537
2021,Elms,NECC,3.0,11.0,A.J. Cook,Fr,INF,24.0,24.0,0.35,0.465,0.425,22.0,80.0,28.0,4.0,1.0,34.0,0.0,12.0,9.0,9.0,1.0,0.0,19.0,0.0,2.0,1.0,10.0,0.0,0.0,,,509484.0,888.0,http://stats.ncaa.org/players/7154032?year_stat_category_id=14840,P39,d3-playerid-39,d3d-7154032
2021,SUNY Maritime,Skyline,3.0,71.0,A.J. Corso,Sr,C,3.0,0.0,0.333,0.333,0.333,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,509466.0,13054.0,http://stats.ncaa.org/players/6915606?year_stat_category_id=14840,P40,d3-playerid-40,d3d-6031501
2021,Monmouth (IL),MWC,3.0,13.0,A.J. Hatlestad,Jr,P,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,510409.0,23119.0,http://stats.ncaa.org/players/6927727?year_stat_category_id=14840,P43,d3-playerid-43,d3d-6102956
