"year","team_name","conference","division","Jersey","player_name","Yr","Pos","App","GS","ERA","IP","H","R","ER","BB","SO","SHO","BF","P-OAB","2B-A","3B-A","Bk","HR-A","WP","HB","IBB","Inh Run","Inh Run Score","SHA","SFA","Pitches","GO","FO","W","L","SV","KL","Ht","B/T","team_id","conference_id","player_id","player_url"
2025,"A&M-Corpus Christi","Southland",1,"36","Adam Muirhead","Jr","P",1,0,18,1,2,2,2,2,1,0,7,5,0,0,0,0,0,0,0,0,0,0,0,29,1,1,0,0,0,0,"6-3","R/R",596471,914,9297810,"http://stats.ncaa.org/players/9297810?year_stat_category_id=15688"
2025,"A&M-Corpus Christi","Southland",1,"42","Luke Robertson","So","P",1,0,13.5,0.2,1,1,1,2,0,0,5,2,1,0,0,0,0,0,0,2,2,0,1,21,0,2,0,0,0,0,"6-5","R/R",596471,914,9297819,"http://stats.ncaa.org/players/9297819?year_stat_category_id=15688"
2025,"A&M-Corpus Christi","Southland",1,"20","Easten Smith","Jr","P",2,0,4.5,2,3,2,1,3,3,0,12,9,0,0,0,0,0,0,0,0,0,0,0,57,1,2,0,0,0,0,"5-11","R/R",596471,914,9297598,"http://stats.ncaa.org/players/9297598?year_stat_category_id=15688"
2025,"A&M-Corpus Christi","Southland",1,"35","Tito Santos","Fr","P",1,0,9,2,2,2,2,4,1,0,13,7,0,0,0,0,0,1,0,0,0,0,1,49,3,2,0,0,0,0,"6-2","R/R",596471,914,9297806,"http://stats.ncaa.org/players/9297806?year_stat_category_id=15688"
2025,"A&M-Corpus Christi","Southland",1,"13","Tristan Crane","Fr","UT",1,0,0,2.1,2,0,0,0,0,0,9,9,0,0,0,0,0,0,0,2,1,0,0,28,2,4,0,0,0,0,"5-11","B/R",596471,914,9297593,"http://stats.ncaa.org/players/9297593?year_stat_category_id=15688"
2025,"A&M-Corpus Christi","Southland",1,"16","Braden LaRusso","Jr","P",1,0,3.38,2.2,3,1,1,1,0,0,12,10,0,0,0,0,0,0,0,0,0,0,1,45,3,5,0,0,0,0,"6-0","R/R",596471,914,9297595,"http://stats.ncaa.org/players/9297595?year_stat_category_id=15688"
2025,"A&M-Corpus Christi","Southland",1,"17","Gage Burdick","Jr","P",1,1,9,3,0,3,3,4,4,0,13,9,0,0,0,0,1,0,0,0,0,0,0,55,2,3,0,1,0,1,"5-11","L/L",596471,914,9297596,"http://stats.ncaa.org/players/9297596?year_stat_category_id=15688"
2025,"A&M-Corpus Christi","Southland",1,"26","Luke Singleton","Jr","P",1,1,54,1.1,7,8,8,1,0,0,13,11,2,0,0,1,0,1,0,0,0,0,0,39,2,2,0,1,0,0,"6-3","L/L",596471,914,9297600,"http://stats.ncaa.org/players/9297600?year_stat_category_id=15688"
2025,"A&M-Corpus Christi","Southland",1,"29","Nathan Darden","Jr","P",1,0,45,1,4,5,5,2,1,0,9,7,0,0,0,1,1,0,0,0,0,0,0,41,1,1,0,0,0,1,"6-0","R/R",596471,914,9297603,"http://stats.ncaa.org/players/9297603?year_stat_category_id=15688"
2025,"A&M-Corpus Christi","Southland",1,"31","Michael Infranca","Jr","P",1,0,0,2,0,0,0,1,0,0,7,5,0,0,0,0,0,0,0,2,1,0,1,21,0,6,0,0,0,0,"5-9","L/L",596471,914,9297797,"http://stats.ncaa.org/players/9297797?year_stat_category_id=15688"
2025,"A&M-Corpus Christi","Southland",1,"41","Bryson Shea","Fr","P",1,0,0,3,1,0,0,0,4,0,10,10,0,0,0,0,0,0,0,0,0,0,0,46,0,5,0,0,0,1,"6-2","R/R",596471,914,9297818,"http://stats.ncaa.org/players/9297818?year_stat_category_id=15688"
