year,team_name,conference,division,Jersey,player_name,Yr,Pos,GP,GS,BA,OBPct,SlgPct,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,IBB,RBI2out,Ht,B/T,team_id,conference_id,player_url,player_id.1,player_id.2,player_id
2022,Austin,SCAC,3.0,17.0,A. Angerstei,,ss,8.0,2.0,0.364,0.5,0.455,4.0,11.0,4.0,1.0,0.0,5.0,0.0,5.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,-,,526963.0,835.0,http://stats.ncaa.org/players/7592307?year_stat_category_id=14940,,,7592307
2022,Greensboro,USA South,3.0,38.0,A. Blevins,,p,12.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-,,527162.0,842.0,http://stats.ncaa.org/players/7588630?year_stat_category_id=14940,,,7588630
2022,Asbury,DIII Independent,3.0,4.0,A. Braughton,,c,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,,535212.0,99020.0,http://stats.ncaa.org/players/7598601?year_stat_category_id=14940,,,7598601
2022,Oberlin,NCAC,3.0,13.0,A. Catterall,,2b,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-,,526855.0,897.0,http://stats.ncaa.org/players/7591401?year_stat_category_id=14940,,,d3d-7591401
2022,Valley Forge,CSAC,3.0,30.0,A. Cook,,p,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,,527077.0,21062.0,http://stats.ncaa.org/players/7586191?year_stat_category_id=14940,,,7586191
2022,JWU (Providence),Great Northeast,3.0,7.0,A. Donohue,,p,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,,527040.0,23257.0,http://stats.ncaa.org/players/7592867?year_stat_category_id=14940,,,7592867
2022,Penn College,United East,3.0,8.0,A. Jaworski,Fr,ss,11.0,0.0,0.0,0.2,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,-,,527082.0,30071.0,http://stats.ncaa.org/players/7348986?year_stat_category_id=14940,,,d3d-7151829
2022,Asbury,DIII Independent,3.0,7.0,A. Lush,,p,18.0,13.0,0.304,0.393,0.391,3.0,23.0,7.0,0.0,1.0,9.0,0.0,4.0,4.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,-,,535212.0,99020.0,http://stats.ncaa.org/players/7583198?year_stat_category_id=14940,,,7583198
2022,Valley Forge,CSAC,3.0,32.0,A. Pugh,Fr,1b,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-,,527077.0,21062.0,http://stats.ncaa.org/players/7354261?year_stat_category_id=14940,,,d3d-7144547
2022,Albertus Magnus,Great Northeast,3.0,28.0,A. Rivera-Si,,c,8.0,4.0,0.071,0.235,0.071,0.0,14.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-,,527015.0,23257.0,http://stats.ncaa.org/players/7593860?year_stat_category_id=14940,,,d3d-7593860
