Unnamed: 0,year,team_name,conference,division,Jersey,player_name,Yr,Pos,App,GS,ERA,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,KL,Ht,B/T,team_id,conference_id,player_id,player_url
1,2023,A&M-Corpus Christi,Southland,1,38,Adam Vaughn,Fr,P,1,0,0.0,0.0,0,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,-,,548068,914,7995254?year_stat_category_id=15001,http://stats.ncaa.org/players/7995254?year_stat_category_id=15001
2,2023,A&M-Corpus Christi,Southland,1,4,Diego Johnson,Jr,3B,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,548068,914,7824097?year_stat_category_id=15001,http://stats.ncaa.org/players/7824097?year_stat_category_id=15001
3,2023,A&M-Corpus Christi,Southland,1,3,Tre Jones,Jr,OF,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-4,L/L,548068,914,7824099?year_stat_category_id=15001,http://stats.ncaa.org/players/7824099?year_stat_category_id=15001
4,2023,A&M-Corpus Christi,Southland,1,10,Brendan Ryan,Sr,OF,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,548068,914,7824102?year_stat_category_id=15001,http://stats.ncaa.org/players/7824102?year_stat_category_id=15001
5,2023,A&M-Corpus Christi,Southland,1,18,Leo Markotic,Sr,2B,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,548068,914,7824103?year_stat_category_id=15001,http://stats.ncaa.org/players/7824103?year_stat_category_id=15001
6,2023,A&M-Corpus Christi,Southland,1,16,James Trimble,Fr,P,9,1,9.88,13.2,18,17,15,8,9,0,70,55,6,0,0,2,4,5,0,12,4,1,1,242,21,7,0,1,0,4,-,,548068,914,7995242?year_stat_category_id=15001,http://stats.ncaa.org/players/7995242?year_stat_category_id=15001
7,2023,A&M-Corpus Christi,Southland,1,22,Jaime Ramirez Jr.,Jr,P,16,1,7.43,26.2,35,24,22,12,17,0,127,107,6,2,2,5,1,5,0,23,9,1,2,439,24,32,1,3,1,6,-,,548068,914,7824106?year_stat_category_id=15001,http://stats.ncaa.org/players/7824106?year_stat_category_id=15001
8,2023,A&M-Corpus Christi,Southland,1,8,Colin Purcell,Jr,P,15,13,4.08,81.2,83,49,37,22,63,1,352,317,18,6,2,3,0,6,0,2,0,2,5,0,74,98,5,6,0,23,-,,548068,914,7824109?year_stat_category_id=15001,http://stats.ncaa.org/players/7824109?year_stat_category_id=15001
9,2023,A&M-Corpus Christi,Southland,1,34,Hayden Thomas,Sr,P,16,8,5.68,50.2,66,42,32,19,57,0,242,211,9,2,0,9,9,8,1,12,3,1,3,850,45,42,4,4,2,16,-,,548068,914,7824110?year_stat_category_id=15001,http://stats.ncaa.org/players/7824110?year_stat_category_id=15001
10,2023,A&M-Corpus Christi,Southland,1,23,Christian Smith-Johnson,Fr,OF,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-1,R/R,548068,914,7995245?year_stat_category_id=15001,http://stats.ncaa.org/players/7995245?year_stat_category_id=15001
11,2023,A&M-Corpus Christi,Southland,1,29,Samuel Feltz,Jr,P,12,0,5.84,12.1,18,11,8,7,11,0,63,55,2,1,0,0,0,1,1,7,5,0,0,212,13,11,0,1,0,4,6-1,R/R,548068,914,7995246?year_stat_category_id=15001,http://stats.ncaa.org/players/7995246?year_stat_category_id=15001
12,2023,A&M-Corpus Christi,Southland,1,31,Dalton LeBlanc,Jr,P,6,0,0.0,5.1,1,1,0,4,8,0,24,17,0,0,0,0,1,2,0,4,2,0,1,103,1,8,0,0,0,0,-,,548068,914,7995247?year_stat_category_id=15001,http://stats.ncaa.org/players/7995247?year_stat_category_id=15001
13,2023,A&M-Corpus Christi,Southland,1,32,Sean Curtis,Jr,INF,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,548068,914,7995248?year_stat_category_id=15001,http://stats.ncaa.org/players/7995248?year_stat_category_id=15001
14,2023,A&M-Corpus Christi,Southland,1,13,Josh Caraway,Jr,C,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,548068,914,7824119?year_stat_category_id=15001,http://stats.ncaa.org/players/7824119?year_stat_category_id=15001
15,2023,A&M-Corpus Christi,Southland,1,27,Sean Sieve,Jr,p,10,0,11.25,8.0,11,10,10,9,8,0,43,31,0,1,0,0,2,2,0,7,6,0,1,174,8,4,0,0,0,1,6-3,,548068,914,7824121?year_stat_category_id=15001,http://stats.ncaa.org/players/7824121?year_stat_category_id=15001
16,2023,A&M-Corpus Christi,Southland,1,24,Marco Gutierrez,So,P,15,0,4.91,18.1,21,14,10,14,13,0,93,75,5,1,0,0,8,3,0,15,9,1,0,317,21,18,0,0,0,5,-,,548068,914,7824122?year_stat_category_id=15001,http://stats.ncaa.org/players/7824122?year_stat_category_id=15001
17,2023,A&M-Corpus Christi,Southland,1,25,Max Puls,Jr,1B,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,548068,914,7824123?year_stat_category_id=15001,http://stats.ncaa.org/players/7824123?year_stat_category_id=15001
18,2023,A&M-Corpus Christi,Southland,1,35,James Burchett,Jr,P,10,0,15.75,8.0,13,14,14,11,7,0,49,37,1,1,1,0,5,1,0,9,7,0,0,179,7,9,1,1,0,3,-,,548068,914,7995252?year_stat_category_id=15001,http://stats.ncaa.org/players/7995252?year_stat_category_id=15001
19,2023,A&M-Corpus Christi,Southland,1,14,Cole Modgling,So,OF,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5-7,R/R,548068,914,7824125?year_stat_category_id=15001,http://stats.ncaa.org/players/7824125?year_stat_category_id=15001
20,2023,A&M-Corpus Christi,Southland,1,40,RJ Carver,Jr,1B,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,548068,914,7995255?year_stat_category_id=15001,http://stats.ncaa.org/players/7995255?year_stat_category_id=15001
21,2023,A&M-Corpus Christi,Southland,1,9,Chance Reisdorph,So,C,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-3,R/R,548068,914,7824127?year_stat_category_id=15001,http://stats.ncaa.org/players/7824127?year_stat_category_id=15001
22,2023,A&M-Corpus Christi,Southland,1,19,Kyle Dickey,So,P,15,0,9.0,19.0,27,19,19,11,17,0,92,79,4,0,0,5,1,1,0,9,2,0,1,316,12,23,1,1,1,2,-,,548068,914,7824130?year_stat_category_id=15001,http://stats.ncaa.org/players/7824130?year_stat_category_id=15001
23,2023,A&M-Corpus Christi,Southland,1,1,Tyler Linneweber,Jr,SS,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,548068,914,7824131?year_stat_category_id=15001,http://stats.ncaa.org/players/7824131?year_stat_category_id=15001
24,2023,A&M-Corpus Christi,Southland,1,30,Zach Garcia,So,P,18,10,6.03,59.2,74,45,40,35,62,0,291,245,8,2,0,6,9,6,0,9,2,3,2,974,48,61,2,5,1,15,6-2,L/L,548068,914,7824132?year_stat_category_id=15001,http://stats.ncaa.org/players/7824132?year_stat_category_id=15001
25,2023,A&M-Corpus Christi,Southland,1,17,Jake Johnson,Sr,OF,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,548068,914,7995231?year_stat_category_id=15001,http://stats.ncaa.org/players/7995231?year_stat_category_id=15001
26,2023,A&M-Corpus Christi,Southland,1,21,Nash Villegas,Fr,P,7,1,23.14,9.1,20,24,24,8,11,0,57,47,1,1,0,8,3,2,0,3,0,0,0,232,10,5,0,1,0,2,6-6,R/R,548068,914,7995234?year_stat_category_id=15001,http://stats.ncaa.org/players/7995234?year_stat_category_id=15001
27,2023,A&M-Corpus Christi,Southland,1,33,Austin Dean,Jr,P,20,0,3.57,22.2,27,16,9,10,18,0,113,94,4,1,1,3,1,5,0,24,6,1,3,343,15,31,2,2,5,6,6-0,R/R,548068,914,7995261?year_stat_category_id=15001,http://stats.ncaa.org/players/7995261?year_stat_category_id=15001
28,2023,A&M-Corpus Christi,Southland,1,36,Kody Gibbs,Fr,P,7,0,6.75,4.0,7,3,3,2,7,0,21,19,2,0,0,2,2,0,0,9,7,0,0,100,1,4,0,0,0,2,-,,548068,914,7995264?year_stat_category_id=15001,http://stats.ncaa.org/players/7995264?year_stat_category_id=15001
29,2023,A&M-Corpus Christi,Southland,1,2,Sebastian Trinidad,Jr,INF,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5-11,R/R,548068,914,7995229?year_stat_category_id=15001,http://stats.ncaa.org/players/7995229?year_stat_category_id=15001
30,2023,A&M-Corpus Christi,Southland,1,28,Evans Hendricks,Jr,P,19,6,3.61,42.1,41,23,17,18,49,0,186,161,6,1,0,2,3,3,1,10,5,0,4,690,39,34,3,0,2,13,6-0,L/L,548068,914,7995258?year_stat_category_id=15001,http://stats.ncaa.org/players/7995258?year_stat_category_id=15001
31,2023,A&M-Corpus Christi,Southland,1,44,Jose Enriquez,Jr,1B,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-0,L/L,548068,914,7995268?year_stat_category_id=15001,http://stats.ncaa.org/players/7995268?year_stat_category_id=15001
32,2023,A&M-Corpus Christi,Southland,1,11,Matthew Watson,So,P,17,14,5.51,78.1,84,55,48,33,54,0,360,302,20,1,1,9,9,18,0,2,1,3,4,0,79,90,5,5,0,10,6-5,R/R,548068,914,7995230?year_stat_category_id=15001,http://stats.ncaa.org/players/7995230?year_stat_category_id=15001
33,2023,A&M-Corpus Christi,Southland,1,26,Dann Blanchard,Jr,P,1,0,13.5,1.1,2,2,2,3,0,0,10,6,0,0,0,0,0,1,0,2,0,0,0,29,2,2,0,0,0,0,-,,548068,914,7995236?year_stat_category_id=15001,http://stats.ncaa.org/players/7995236?year_stat_category_id=15001
34,2023,A&M-Corpus Christi,Southland,1,42,Cole Beddingfield,So,P,2,0,108.0,0.1,2,4,4,3,0,0,6,3,0,0,0,0,0,0,0,2,1,0,0,29,0,1,0,0,0,0,-,,548068,914,8678618?year_stat_category_id=15001,http://stats.ncaa.org/players/8678618?year_stat_category_id=15001
35,2023,Abilene Christian,WAC,1,19,Zach Smith,Sr,P,26,0,5.91,35.0,39,24,23,19,29,0,164,138,4,0,2,3,6,5,5,28,7,2,0,575,37,33,2,3,9,5,5-10,R/R,548074,923,7824296?year_stat_category_id=15001,http://stats.ncaa.org/players/7824296?year_stat_category_id=15001
36,2023,Abilene Christian,WAC,1,21,Tyler Morgan,Jr,P,16,14,6.24,79.1,89,63,55,34,94,1,366,319,15,0,1,11,12,6,2,5,3,4,3,0,60,81,3,4,0,26,6-0,R/R,548074,923,7824297?year_stat_category_id=15001,http://stats.ncaa.org/players/7824297?year_stat_category_id=15001
37,2023,Abilene Christian,WAC,1,16,Adam Stephenson,Sr,P,19,0,5.21,48.1,45,29,28,18,69,0,205,184,8,0,0,9,2,0,0,17,6,2,1,846,40,32,5,3,0,14,6-1,L/L,548074,923,7824300?year_stat_category_id=15001,http://stats.ncaa.org/players/7824300?year_stat_category_id=15001
38,2023,Abilene Christian,WAC,1,12,Miller Ladusau,Jr,OF,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-3,L/R,548074,923,7824302?year_stat_category_id=15001,http://stats.ncaa.org/players/7824302?year_stat_category_id=15001
39,2023,Abilene Christian,WAC,1,45,Max Huffing,Jr,P,21,3,5.4,48.1,40,29,29,30,41,0,217,170,7,0,0,5,9,9,3,18,8,4,4,816,35,59,4,1,1,7,6-9,L/L,548074,923,7824307?year_stat_category_id=15001,http://stats.ncaa.org/players/7824307?year_stat_category_id=15001
40,2023,Abilene Christian,WAC,1,22,Grayson Tatrow,Sr,OF,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-4,L/R,548074,923,7824310?year_stat_category_id=15001,http://stats.ncaa.org/players/7824310?year_stat_category_id=15001
41,2023,Abilene Christian,WAC,1,1,Bash Randle,Jr,INF,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5-10,R/R,548074,923,7824311?year_stat_category_id=15001,http://stats.ncaa.org/players/7824311?year_stat_category_id=15001
42,2023,Abilene Christian,WAC,1,27,Sam Berberich,Jr,P,18,0,9.97,21.2,33,28,24,12,22,0,120,96,3,3,0,4,4,11,0,17,5,0,1,404,24,17,1,0,0,5,5-11,R/L,548074,923,7824313?year_stat_category_id=15001,http://stats.ncaa.org/players/7824313?year_stat_category_id=15001
43,2023,Abilene Christian,WAC,1,18,Drake Boggan,Jr,P,22,1,6.82,34.1,35,27,26,22,30,0,161,132,2,0,0,5,5,3,1,15,6,1,3,572,33,36,3,2,1,11,6-0,R/R,548074,923,7824314?year_stat_category_id=15001,http://stats.ncaa.org/players/7824314?year_stat_category_id=15001
